instance_sn,cluster,workload_type
instance_10415,1,Training
instance_10416,1,Training
instance_10419,1,Training
instance_10420,1,Training
instance_10421,1,Training
instance_10423,7,Unknown
instance_10424,6,Unknown
instance_10425,7,Unknown
instance_10426,7,Unknown
instance_10427,6,Unknown
instance_10428,7,Unknown
instance_10430,1,Training
instance_10431,0,Preprocessing
instance_10432,1,Training
instance_10435,17,Unknown
instance_10436,0,Preprocessing
instance_10437,30,Unknown
instance_10438,17,Unknown
instance_10439,-1,Noise
instance_10440,-1,Noise
instance_10441,17,Unknown
instance_10444,17,Unknown
instance_10445,10,Unknown
instance_10446,0,Preprocessing
instance_10447,17,Unknown
instance_10448,1,Training
instance_10449,-1,Noise
instance_10450,5,Unknown
instance_10452,1,Training
instance_10453,1,Training
instance_10455,7,Unknown
instance_10456,-1,Noise
instance_10457,6,Unknown
instance_10458,12,Unknown
instance_10459,17,Unknown
instance_10462,7,Unknown
instance_10463,7,Unknown
instance_10465,6,Unknown
instance_10466,23,Unknown
instance_10467,7,Unknown
instance_10468,28,Unknown
instance_10469,7,Unknown
instance_10470,7,Unknown
instance_10471,7,Unknown
instance_10472,7,Unknown
instance_10473,34,Unknown
instance_10475,1,Training
instance_10476,5,Unknown
instance_10477,5,Unknown
instance_10478,5,Unknown
instance_10479,18,Unknown
instance_10481,26,Unknown
instance_10482,26,Unknown
instance_10483,26,Unknown
instance_10484,26,Unknown
instance_10485,26,Unknown
instance_10486,26,Unknown
instance_10487,26,Unknown
instance_10488,26,Unknown
instance_10489,26,Unknown
instance_10490,26,Unknown
instance_10491,26,Unknown
instance_10492,26,Unknown
instance_10493,26,Unknown
instance_10494,26,Unknown
instance_10495,26,Unknown
instance_10496,5,Unknown
instance_10497,8,Unknown
instance_10498,5,Unknown
instance_10501,12,Unknown
instance_10502,26,Unknown
instance_10503,26,Unknown
instance_10504,26,Unknown
instance_10505,-1,Noise
instance_10506,-1,Noise
instance_10508,1,Training
instance_10509,1,Training
instance_10510,17,Unknown
instance_10511,3,Inference
instance_10513,1,Training
instance_10514,26,Unknown
instance_10515,26,Unknown
instance_10516,25,Unknown
instance_10517,25,Unknown
instance_10518,25,Unknown
instance_10519,25,Unknown
instance_10520,25,Unknown
instance_10521,25,Unknown
instance_10522,25,Unknown
instance_10523,25,Unknown
instance_10524,25,Unknown
instance_10525,25,Unknown
instance_10526,25,Unknown
instance_10527,25,Unknown
instance_10528,25,Unknown
instance_10529,25,Unknown
instance_10530,25,Unknown
instance_10531,25,Unknown
instance_10532,25,Unknown
instance_10533,25,Unknown
instance_10534,25,Unknown
instance_10535,25,Unknown
instance_10536,25,Unknown
instance_10537,25,Unknown
instance_10538,25,Unknown
instance_10539,25,Unknown
instance_10540,25,Unknown
instance_10541,25,Unknown
instance_10542,25,Unknown
instance_10543,25,Unknown
instance_10544,25,Unknown
instance_10545,12,Unknown
instance_10547,26,Unknown
instance_10548,1,Training
instance_10550,34,Unknown
instance_10551,34,Unknown
instance_10552,34,Unknown
instance_10553,34,Unknown
instance_10554,34,Unknown
instance_10555,34,Unknown
instance_10556,5,Unknown
instance_10557,18,Unknown
instance_10558,3,Inference
instance_10559,10,Unknown
instance_10560,1,Training
instance_10561,34,Unknown
instance_10562,34,Unknown
instance_10563,-1,Noise
instance_10564,-1,Noise
instance_10565,34,Unknown
instance_10566,26,Unknown
instance_10567,26,Unknown
instance_10568,26,Unknown
instance_10569,1,Training
instance_10570,-1,Noise
instance_10571,-1,Noise
instance_10572,1,Training
instance_10573,11,Unknown
instance_10574,5,Unknown
instance_10576,5,Unknown
instance_10580,7,Unknown
instance_10581,7,Unknown
instance_10582,7,Unknown
instance_10583,-1,Noise
instance_10585,5,Unknown
instance_10586,32,Unknown
instance_10587,28,Unknown
instance_10588,7,Unknown
instance_10589,-1,Noise
instance_10593,-1,Noise
instance_10594,-1,Noise
instance_10595,7,Unknown
instance_10596,7,Unknown
instance_10597,7,Unknown
instance_10598,7,Unknown
instance_10599,7,Unknown
instance_10600,7,Unknown
instance_10606,-1,Noise
instance_10608,7,Unknown
instance_10609,7,Unknown
instance_10610,7,Unknown
instance_10611,7,Unknown
instance_10612,7,Unknown
instance_10613,7,Unknown
instance_10614,7,Unknown
instance_10615,7,Unknown
instance_10616,-1,Noise
instance_10617,26,Unknown
instance_10618,9,Unknown
instance_10619,5,Unknown
instance_10620,18,Unknown
instance_10621,1,Training
instance_10622,0,Preprocessing
instance_10623,26,Unknown
instance_10626,1,Training
instance_10627,1,Training
instance_10628,1,Training
instance_10629,-1,Noise
instance_10631,26,Unknown
instance_10632,1,Training
instance_10634,33,Unknown
instance_10636,0,Preprocessing
instance_10637,1,Training
instance_10639,26,Unknown
instance_10640,0,Preprocessing
instance_10642,-1,Noise
instance_10645,5,Unknown
instance_10646,17,Unknown
instance_10647,7,Unknown
instance_10649,7,Unknown
instance_10650,34,Unknown
instance_10651,34,Unknown
instance_10652,1,Training
instance_10653,34,Unknown
instance_10654,34,Unknown
instance_10655,34,Unknown
instance_10656,1,Training
instance_10657,1,Training
instance_10658,17,Unknown
instance_10659,1,Training
instance_10660,33,Unknown
instance_10662,1,Training
instance_10664,-1,Noise
instance_10665,18,Unknown
instance_10666,5,Unknown
instance_10667,-1,Noise
instance_10669,17,Unknown
instance_10670,1,Training
instance_10671,5,Unknown
instance_10673,5,Unknown
instance_10674,34,Unknown
instance_10675,34,Unknown
instance_10676,8,Unknown
instance_10677,21,Unknown
instance_10678,8,Unknown
instance_10679,9,Unknown
instance_10680,5,Unknown
instance_10681,0,Preprocessing
instance_10682,0,Preprocessing
instance_10683,8,Unknown
instance_10684,1,Training
instance_10686,1,Training
instance_10688,15,Unknown
instance_10690,5,Unknown
instance_10691,5,Unknown
instance_10693,12,Unknown
instance_10694,18,Unknown
instance_10695,1,Training
instance_10696,-1,Noise
instance_10698,0,Preprocessing
instance_10699,0,Preprocessing
instance_10700,1,Training
instance_10701,1,Training
instance_10702,1,Training
instance_10703,1,Training
instance_10708,5,Unknown
instance_10709,1,Training
instance_10710,0,Preprocessing
instance_10711,1,Training
instance_10715,5,Unknown
instance_10717,18,Unknown
instance_10719,16,Unknown
instance_10721,34,Unknown
instance_10722,-1,Noise
instance_10724,6,Unknown
instance_10725,6,Unknown
instance_10726,7,Unknown
instance_10729,7,Unknown
instance_10730,7,Unknown
instance_10731,7,Unknown
instance_10732,7,Unknown
instance_10733,7,Unknown
instance_10734,23,Unknown
instance_10737,5,Unknown
instance_10739,5,Unknown
instance_10740,5,Unknown
instance_10741,0,Preprocessing
instance_10742,5,Unknown
instance_10745,1,Training
instance_10748,1,Training
instance_10749,8,Unknown
instance_10750,1,Training
instance_10751,1,Training
instance_10752,18,Unknown
instance_10754,16,Unknown
instance_10755,18,Unknown
instance_10756,12,Unknown
instance_10757,0,Preprocessing
instance_10758,8,Unknown
instance_10760,8,Unknown
instance_10761,1,Training
instance_10762,-1,Noise
instance_10763,17,Unknown
instance_10764,12,Unknown
instance_10765,1,Training
instance_10766,1,Training
instance_10768,-1,Noise
instance_10771,1,Training
instance_10772,8,Unknown
instance_10773,8,Unknown
instance_10774,7,Unknown
instance_10776,-1,Noise
instance_10777,8,Unknown
instance_10778,8,Unknown
instance_10779,1,Training
instance_10780,1,Training
instance_10781,8,Unknown
instance_10782,1,Training
instance_10783,0,Preprocessing
instance_10784,1,Training
instance_10785,1,Training
instance_10786,7,Unknown
instance_10787,3,Inference
instance_10788,17,Unknown
instance_10789,8,Unknown
instance_10790,8,Unknown
instance_10791,34,Unknown
instance_10792,8,Unknown
instance_10793,1,Training
instance_10795,15,Unknown
instance_10796,18,Unknown
instance_10799,7,Unknown
instance_10801,3,Inference
instance_10804,8,Unknown
instance_10806,7,Unknown
instance_10808,7,Unknown
instance_10809,7,Unknown
instance_10811,8,Unknown
instance_10813,8,Unknown
instance_10815,1,Training
instance_10816,11,Unknown
instance_10817,17,Unknown
instance_10818,-1,Noise
instance_10820,15,Unknown
instance_10821,17,Unknown
instance_10822,17,Unknown
instance_10823,8,Unknown
instance_10824,21,Unknown
instance_10825,8,Unknown
instance_10826,21,Unknown
instance_10827,34,Unknown
instance_10828,8,Unknown
instance_10831,6,Unknown
instance_10832,6,Unknown
instance_10834,8,Unknown
instance_10835,10,Unknown
instance_10837,8,Unknown
instance_10838,0,Preprocessing
instance_10839,8,Unknown
instance_10840,35,Unknown
instance_10841,35,Unknown
instance_10842,35,Unknown
instance_10843,35,Unknown
instance_10844,35,Unknown
instance_10845,35,Unknown
instance_10846,35,Unknown
instance_10848,5,Unknown
instance_10849,35,Unknown
instance_10850,0,Preprocessing
instance_10851,10,Unknown
instance_10852,-1,Noise
instance_10855,0,Preprocessing
instance_10856,0,Preprocessing
instance_10857,-1,Noise
instance_10858,-1,Noise
instance_10859,0,Preprocessing
instance_10860,13,Unknown
instance_10861,13,Unknown
instance_10862,13,Unknown
instance_10863,13,Unknown
instance_10864,13,Unknown
instance_10865,8,Unknown
instance_10866,13,Unknown
instance_10867,13,Unknown
instance_10868,13,Unknown
instance_10869,13,Unknown
instance_10870,13,Unknown
instance_10871,13,Unknown
instance_10872,13,Unknown
instance_10873,13,Unknown
instance_10874,13,Unknown
instance_10875,13,Unknown
instance_10876,13,Unknown
instance_10877,13,Unknown
instance_10878,13,Unknown
instance_10880,13,Unknown
instance_10881,13,Unknown
instance_10883,13,Unknown
instance_10884,13,Unknown
instance_10886,13,Unknown
instance_10888,13,Unknown
instance_10889,13,Unknown
instance_10890,13,Unknown
instance_10891,13,Unknown
instance_10892,13,Unknown
instance_10893,13,Unknown
instance_10895,13,Unknown
instance_10898,13,Unknown
instance_10899,13,Unknown
instance_10901,13,Unknown
instance_10902,13,Unknown
instance_10904,13,Unknown
instance_10906,13,Unknown
instance_10907,13,Unknown
instance_10908,13,Unknown
instance_10909,13,Unknown
instance_10910,13,Unknown
instance_10912,13,Unknown
instance_10913,-1,Noise
instance_10917,13,Unknown
instance_10918,13,Unknown
instance_10919,13,Unknown
instance_10923,13,Unknown
instance_10926,13,Unknown
instance_10927,-1,Noise
instance_10929,13,Unknown
instance_10931,13,Unknown
instance_10933,13,Unknown
instance_10934,-1,Noise
instance_10935,13,Unknown
instance_10936,13,Unknown
instance_10937,13,Unknown
instance_10938,13,Unknown
instance_10939,13,Unknown
instance_10940,13,Unknown
instance_10941,13,Unknown
instance_10942,13,Unknown
instance_10943,13,Unknown
instance_10944,13,Unknown
instance_10945,13,Unknown
instance_10946,13,Unknown
instance_10947,13,Unknown
instance_10948,13,Unknown
instance_10949,13,Unknown
instance_10950,13,Unknown
instance_10951,13,Unknown
instance_10952,13,Unknown
instance_10953,13,Unknown
instance_10954,13,Unknown
instance_10956,-1,Noise
instance_10962,0,Preprocessing
instance_10964,8,Unknown
instance_10965,8,Unknown
instance_10966,-1,Noise
instance_10967,13,Unknown
instance_10968,13,Unknown
instance_10970,8,Unknown
instance_10972,13,Unknown
instance_10973,13,Unknown
instance_10975,0,Preprocessing
instance_10976,13,Unknown
instance_10977,8,Unknown
instance_10978,13,Unknown
instance_10980,0,Preprocessing
instance_10981,13,Unknown
instance_10982,8,Unknown
instance_10983,13,Unknown
instance_10984,8,Unknown
instance_10985,8,Unknown
instance_10987,17,Unknown
instance_10988,17,Unknown
instance_10990,17,Unknown
instance_10991,17,Unknown
instance_10992,17,Unknown
instance_10993,17,Unknown
instance_10994,17,Unknown
instance_10995,17,Unknown
instance_10996,17,Unknown
instance_10997,17,Unknown
instance_10998,17,Unknown
instance_10999,17,Unknown
instance_11000,17,Unknown
instance_11001,17,Unknown
instance_11002,17,Unknown
instance_11003,17,Unknown
instance_11004,17,Unknown
instance_11005,15,Unknown
instance_11006,17,Unknown
instance_11007,17,Unknown
instance_11009,17,Unknown
instance_11010,-1,Noise
instance_11012,8,Unknown
instance_11013,8,Unknown
instance_11014,13,Unknown
instance_11015,13,Unknown
instance_11018,34,Unknown
instance_11019,34,Unknown
instance_11020,7,Unknown
instance_11021,7,Unknown
instance_11022,7,Unknown
instance_11023,23,Unknown
instance_11024,7,Unknown
instance_11025,7,Unknown
instance_11026,34,Unknown
instance_11028,23,Unknown
instance_11029,7,Unknown
instance_11030,7,Unknown
instance_11031,24,Unknown
instance_11032,7,Unknown
instance_11033,6,Unknown
instance_11038,0,Preprocessing
instance_11041,34,Unknown
instance_11042,34,Unknown
instance_11043,34,Unknown
instance_11045,34,Unknown
instance_11046,34,Unknown
instance_11047,23,Unknown
instance_11050,7,Unknown
instance_11051,7,Unknown
instance_11052,34,Unknown
instance_11053,34,Unknown
instance_11057,34,Unknown
instance_11058,34,Unknown
instance_11059,34,Unknown
instance_11060,34,Unknown
instance_11061,34,Unknown
instance_11062,34,Unknown
instance_11063,34,Unknown
instance_11065,34,Unknown
instance_11067,34,Unknown
instance_11068,15,Unknown
instance_11069,8,Unknown
instance_11070,9,Unknown
instance_11071,18,Unknown
instance_11072,0,Preprocessing
instance_11073,17,Unknown
instance_11076,7,Unknown
instance_11077,7,Unknown
instance_11080,6,Unknown
instance_11081,8,Unknown
instance_11083,3,Inference
instance_11084,0,Preprocessing
instance_11086,1,Training
instance_11087,6,Unknown
instance_11089,3,Inference
instance_11090,0,Preprocessing
instance_11091,1,Training
instance_11092,12,Unknown
instance_11093,8,Unknown
instance_11094,8,Unknown
instance_11095,34,Unknown
instance_11096,34,Unknown
instance_11097,34,Unknown
instance_11098,0,Preprocessing
instance_11100,13,Unknown
instance_11101,37,Unknown
instance_11103,12,Unknown
instance_11104,3,Inference
instance_11105,6,Unknown
instance_11111,7,Unknown
instance_11114,8,Unknown
instance_11115,3,Inference
instance_11116,5,Unknown
instance_11117,1,Training
instance_11118,9,Unknown
instance_11119,1,Training
instance_11121,0,Preprocessing
instance_11122,3,Inference
instance_11123,34,Unknown
instance_11124,7,Unknown
instance_11125,6,Unknown
instance_11127,17,Unknown
instance_11128,8,Unknown
instance_11129,17,Unknown
instance_11131,6,Unknown
instance_11132,37,Unknown
instance_11133,6,Unknown
instance_11134,0,Preprocessing
instance_11136,0,Preprocessing
instance_11137,12,Unknown
instance_11138,0,Preprocessing
instance_11139,0,Preprocessing
instance_11140,9,Unknown
instance_11142,17,Unknown
instance_11143,17,Unknown
instance_11144,8,Unknown
instance_11145,17,Unknown
instance_11148,17,Unknown
instance_11149,1,Training
instance_11150,1,Training
instance_11151,0,Preprocessing
instance_11152,1,Training
instance_11153,34,Unknown
instance_11156,0,Preprocessing
instance_11157,1,Training
instance_11158,1,Training
instance_11160,6,Unknown
instance_11165,-1,Noise
instance_11168,-1,Noise
instance_11169,17,Unknown
instance_11170,-1,Noise
instance_11171,17,Unknown
instance_11173,6,Unknown
instance_11175,0,Preprocessing
instance_11176,0,Preprocessing
instance_11177,-1,Noise
instance_11181,1,Training
instance_11183,6,Unknown
instance_11185,5,Unknown
instance_11186,5,Unknown
instance_11187,15,Unknown
instance_11188,5,Unknown
instance_11189,9,Unknown
instance_11190,-1,Noise
instance_11191,5,Unknown
instance_11192,0,Preprocessing
instance_11193,0,Preprocessing
instance_11194,-1,Noise
instance_11198,-1,Noise
instance_11199,-1,Noise
instance_11200,34,Unknown
instance_11201,34,Unknown
instance_11202,34,Unknown
instance_11203,34,Unknown
instance_11204,18,Unknown
instance_11206,18,Unknown
instance_11212,0,Preprocessing
instance_11213,0,Preprocessing
instance_11214,0,Preprocessing
instance_11216,1,Training
instance_11217,0,Preprocessing
instance_11218,12,Unknown
instance_11219,0,Preprocessing
instance_11220,0,Preprocessing
instance_11221,-1,Noise
instance_11222,35,Unknown
instance_11223,1,Training
instance_11226,17,Unknown
instance_11227,5,Unknown
instance_11232,30,Unknown
instance_11233,1,Training
instance_11234,5,Unknown
instance_11235,1,Training
instance_11236,17,Unknown
instance_11240,8,Unknown
instance_11241,-1,Noise
instance_11242,34,Unknown
instance_11243,0,Preprocessing
instance_11244,12,Unknown
instance_11245,13,Unknown
instance_11246,0,Preprocessing
instance_11247,1,Training
instance_11248,17,Unknown
instance_11249,17,Unknown
instance_11250,1,Training
instance_11251,8,Unknown
instance_11252,8,Unknown
instance_11253,8,Unknown
instance_11254,8,Unknown
instance_11255,8,Unknown
instance_11256,8,Unknown
instance_11257,8,Unknown
instance_11258,8,Unknown
instance_11259,8,Unknown
instance_11260,8,Unknown
instance_11261,8,Unknown
instance_11263,8,Unknown
instance_11264,8,Unknown
instance_11265,8,Unknown
instance_11266,8,Unknown
instance_11268,8,Unknown
instance_11270,36,Unknown
instance_11271,-1,Noise
instance_11272,29,Unknown
instance_11273,8,Unknown
instance_11274,-1,Noise
instance_11276,3,Inference
instance_11277,1,Training
instance_11278,-1,Noise
instance_11282,10,Unknown
instance_11284,13,Unknown
instance_11286,1,Training
instance_11288,0,Preprocessing
instance_11291,34,Unknown
instance_11294,29,Unknown
instance_11295,18,Unknown
instance_11296,3,Inference
instance_11297,8,Unknown
instance_11298,0,Preprocessing
instance_11299,8,Unknown
instance_11303,1,Training
instance_11305,13,Unknown
instance_11310,1,Training
instance_11311,0,Preprocessing
instance_11312,0,Preprocessing
instance_11313,13,Unknown
instance_11314,-1,Noise
instance_11315,-1,Noise
instance_11318,0,Preprocessing
instance_11319,34,Unknown
instance_11320,13,Unknown
instance_11321,8,Unknown
instance_11323,15,Unknown
instance_11327,0,Preprocessing
instance_11330,17,Unknown
instance_11331,0,Preprocessing
instance_11332,0,Preprocessing
instance_11334,33,Unknown
instance_11335,0,Preprocessing
instance_11338,0,Preprocessing
instance_11339,0,Preprocessing
instance_11340,18,Unknown
instance_11341,12,Unknown
instance_11342,18,Unknown
instance_11344,0,Preprocessing
instance_11345,3,Inference
instance_11346,29,Unknown
instance_11347,12,Unknown
instance_11348,17,Unknown
instance_11349,36,Unknown
instance_11351,13,Unknown
instance_11352,1,Training
instance_11354,5,Unknown
instance_11355,17,Unknown
instance_11356,5,Unknown
instance_11357,0,Preprocessing
instance_11358,17,Unknown
instance_11359,14,Unknown
instance_11361,17,Unknown
instance_11362,13,Unknown
instance_11364,17,Unknown
instance_11365,1,Training
instance_11367,15,Unknown
instance_11369,3,Inference
instance_11370,13,Unknown
instance_11371,13,Unknown
instance_11372,13,Unknown
instance_11374,-1,Noise
instance_11377,18,Unknown
instance_11379,1,Training
instance_11380,1,Training
instance_11381,-1,Noise
instance_11382,0,Preprocessing
instance_11383,0,Preprocessing
instance_11385,1,Training
instance_11386,-1,Noise
instance_11387,0,Preprocessing
instance_11388,0,Preprocessing
instance_11389,1,Training
instance_11390,-1,Noise
instance_11391,13,Unknown
instance_11392,13,Unknown
instance_11394,10,Unknown
instance_11395,3,Inference
instance_11397,0,Preprocessing
instance_11398,13,Unknown
instance_11400,13,Unknown
instance_11401,34,Unknown
instance_11402,34,Unknown
instance_11403,34,Unknown
instance_11404,5,Unknown
instance_11406,-1,Noise
instance_11408,0,Preprocessing
instance_11409,9,Unknown
instance_11410,-1,Noise
instance_11411,13,Unknown
instance_11412,-1,Noise
instance_11413,7,Unknown
instance_11414,7,Unknown
instance_11415,0,Preprocessing
instance_11416,13,Unknown
instance_11417,15,Unknown
instance_11423,15,Unknown
instance_11424,0,Preprocessing
instance_11425,8,Unknown
instance_11427,1,Training
instance_11428,17,Unknown
instance_11429,8,Unknown
instance_11430,8,Unknown
instance_11431,8,Unknown
instance_11433,15,Unknown
instance_11436,12,Unknown
instance_11437,8,Unknown
instance_11438,8,Unknown
instance_11439,8,Unknown
instance_11440,8,Unknown
instance_11441,-1,Noise
instance_11442,4,Deployment
instance_11443,15,Unknown
instance_11444,12,Unknown
instance_11445,8,Unknown
instance_11446,8,Unknown
instance_11447,8,Unknown
instance_11448,-1,Noise
instance_11449,1,Training
instance_11452,9,Unknown
instance_11453,4,Deployment
instance_11455,8,Unknown
instance_11456,12,Unknown
instance_11457,1,Training
instance_11459,10,Unknown
instance_11461,9,Unknown
instance_11462,8,Unknown
instance_11463,2,Tuning
instance_11465,21,Unknown
instance_11466,8,Unknown
instance_11467,8,Unknown
instance_11470,8,Unknown
instance_11472,2,Tuning
instance_11473,12,Unknown
instance_11476,34,Unknown
instance_11478,11,Unknown
instance_11479,4,Deployment
instance_11480,11,Unknown
instance_11481,18,Unknown
instance_11482,11,Unknown
instance_11483,12,Unknown
instance_11484,8,Unknown
instance_11485,8,Unknown
instance_11486,2,Tuning
instance_11488,4,Deployment
instance_11490,8,Unknown
instance_11491,-1,Noise
instance_11495,8,Unknown
instance_11496,8,Unknown
instance_11497,7,Unknown
instance_11498,8,Unknown
instance_11500,13,Unknown
instance_11501,34,Unknown
instance_11502,7,Unknown
instance_11503,8,Unknown
instance_11504,-1,Noise
instance_11505,8,Unknown
instance_11506,8,Unknown
instance_11508,-1,Noise
instance_11509,18,Unknown
instance_11510,2,Tuning
instance_11513,-1,Noise
instance_11515,-1,Noise
instance_11516,7,Unknown
instance_11517,8,Unknown
instance_11518,0,Preprocessing
instance_11519,0,Preprocessing
instance_11520,7,Unknown
instance_11521,34,Unknown
instance_11522,34,Unknown
instance_11523,8,Unknown
instance_11525,0,Preprocessing
instance_11527,13,Unknown
instance_11528,11,Unknown
instance_11529,0,Preprocessing
instance_11530,0,Preprocessing
instance_11531,0,Preprocessing
instance_11533,8,Unknown
instance_11534,8,Unknown
instance_11535,8,Unknown
instance_11536,8,Unknown
instance_11537,8,Unknown
instance_11538,8,Unknown
instance_11544,7,Unknown
instance_11545,25,Unknown
instance_11547,7,Unknown
instance_11548,8,Unknown
instance_11549,8,Unknown
instance_11552,11,Unknown
instance_11553,8,Unknown
instance_11554,0,Preprocessing
instance_11555,0,Preprocessing
instance_11556,4,Deployment
instance_11557,15,Unknown
instance_11564,22,Unknown
instance_11565,-1,Noise
instance_11566,0,Preprocessing
instance_11568,-1,Noise
instance_11570,11,Unknown
instance_11573,7,Unknown
instance_11574,34,Unknown
instance_11576,-1,Noise
instance_11577,-1,Noise
instance_11588,3,Inference
instance_11589,7,Unknown
instance_11590,7,Unknown
instance_11591,3,Inference
instance_11592,3,Inference
instance_11593,7,Unknown
instance_11594,7,Unknown
instance_11595,7,Unknown
instance_11596,7,Unknown
instance_11597,7,Unknown
instance_11598,7,Unknown
instance_11621,7,Unknown
instance_11622,7,Unknown
instance_11623,7,Unknown
instance_11624,7,Unknown
instance_11625,7,Unknown
instance_11626,3,Inference
instance_11628,3,Inference
instance_11635,3,Inference
instance_11636,7,Unknown
instance_11637,7,Unknown
instance_11638,7,Unknown
instance_11639,7,Unknown
instance_11640,7,Unknown
instance_11641,7,Unknown
instance_11642,7,Unknown
instance_11643,7,Unknown
instance_11644,7,Unknown
instance_11647,7,Unknown
instance_11648,7,Unknown
instance_11662,0,Preprocessing
instance_11664,0,Preprocessing
instance_11665,8,Unknown
instance_11667,8,Unknown
instance_11668,8,Unknown
instance_11669,8,Unknown
instance_11670,8,Unknown
instance_11671,8,Unknown
instance_11672,8,Unknown
instance_11673,8,Unknown
instance_11691,-1,Noise
instance_11692,17,Unknown
instance_11693,4,Deployment
instance_11694,1,Training
instance_11695,7,Unknown
instance_11696,12,Unknown
instance_11697,7,Unknown
instance_11699,12,Unknown
instance_11700,7,Unknown
instance_11701,1,Training
instance_11704,28,Unknown
instance_11705,6,Unknown
instance_11709,7,Unknown
instance_11710,-1,Noise
instance_11714,34,Unknown
instance_11715,34,Unknown
instance_11716,7,Unknown
instance_11717,7,Unknown
instance_11719,23,Unknown
instance_11722,7,Unknown
instance_11723,15,Unknown
instance_11724,7,Unknown
instance_11725,0,Preprocessing
instance_11726,3,Inference
instance_11728,13,Unknown
instance_11729,8,Unknown
instance_11730,-1,Noise
instance_11731,11,Unknown
instance_11732,-1,Noise
instance_11733,3,Inference
instance_11734,5,Unknown
instance_11735,9,Unknown
instance_11736,13,Unknown
instance_11737,33,Unknown
instance_11738,8,Unknown
instance_11739,8,Unknown
instance_11740,8,Unknown
instance_11742,8,Unknown
instance_11744,-1,Noise
instance_11745,9,Unknown
instance_11746,5,Unknown
instance_11747,-1,Noise
instance_11749,3,Inference
instance_11751,6,Unknown
instance_11752,6,Unknown
instance_11753,6,Unknown
instance_11754,6,Unknown
instance_11755,6,Unknown
instance_11756,6,Unknown
instance_11757,28,Unknown
instance_11758,7,Unknown
instance_11759,7,Unknown
instance_11760,7,Unknown
instance_11761,8,Unknown
instance_11762,8,Unknown
instance_11766,6,Unknown
instance_11768,1,Training
instance_11769,9,Unknown
instance_11770,5,Unknown
instance_11772,-1,Noise
instance_11776,6,Unknown
instance_11777,7,Unknown
instance_11783,1,Training
instance_11784,8,Unknown
instance_11785,17,Unknown
instance_11786,3,Inference
instance_11788,0,Preprocessing
instance_11789,1,Training
instance_11790,8,Unknown
instance_11793,7,Unknown
instance_11794,7,Unknown
instance_11795,7,Unknown
instance_11796,7,Unknown
instance_11797,8,Unknown
instance_11798,1,Training
instance_11800,7,Unknown
instance_11801,0,Preprocessing
instance_11802,18,Unknown
instance_11804,18,Unknown
instance_11805,0,Preprocessing
instance_11806,10,Unknown
instance_11807,0,Preprocessing
instance_11808,1,Training
instance_11809,18,Unknown
instance_11810,13,Unknown
instance_11811,13,Unknown
instance_11812,3,Inference
instance_11813,-1,Noise
instance_11815,3,Inference
instance_11816,13,Unknown
instance_11818,3,Inference
instance_11819,1,Training
instance_11820,17,Unknown
instance_11821,14,Unknown
instance_11822,16,Unknown
instance_11823,13,Unknown
instance_11824,13,Unknown
instance_11825,13,Unknown
instance_11826,13,Unknown
instance_11827,13,Unknown
instance_11830,7,Unknown
instance_11831,0,Preprocessing
instance_11832,8,Unknown
instance_11838,0,Preprocessing
instance_11841,1,Training
instance_11842,0,Preprocessing
instance_11843,0,Preprocessing
instance_11845,1,Training
instance_11846,-1,Noise
instance_11847,17,Unknown
instance_11848,8,Unknown
instance_11850,17,Unknown
instance_11853,13,Unknown
instance_11854,3,Inference
instance_11855,1,Training
instance_11856,0,Preprocessing
instance_11857,9,Unknown
instance_11861,13,Unknown
instance_11862,35,Unknown
instance_11864,13,Unknown
instance_11867,5,Unknown
instance_11869,4,Deployment
instance_11870,17,Unknown
instance_11874,34,Unknown
instance_11875,5,Unknown
instance_11878,4,Deployment
instance_11879,0,Preprocessing
instance_11880,12,Unknown
instance_11882,13,Unknown
instance_11883,18,Unknown
instance_11885,12,Unknown
instance_11886,11,Unknown
instance_11887,0,Preprocessing
instance_11888,0,Preprocessing
instance_11889,12,Unknown
instance_11890,1,Training
instance_11891,10,Unknown
instance_11892,17,Unknown
instance_11893,3,Inference
instance_11894,0,Preprocessing
instance_11895,36,Unknown
instance_11896,3,Inference
instance_11897,13,Unknown
instance_11898,13,Unknown
instance_11899,13,Unknown
instance_11900,13,Unknown
instance_11901,1,Training
instance_11902,13,Unknown
instance_11904,1,Training
instance_11905,-1,Noise
instance_11907,7,Unknown
instance_11908,13,Unknown
instance_11909,13,Unknown
instance_11910,13,Unknown
instance_11911,8,Unknown
instance_11912,8,Unknown
instance_11913,5,Unknown
instance_11914,8,Unknown
instance_11916,13,Unknown
instance_11917,1,Training
instance_11919,17,Unknown
instance_11920,8,Unknown
instance_11922,1,Training
instance_11923,13,Unknown
instance_11924,0,Preprocessing
instance_11925,-1,Noise
instance_11926,8,Unknown
instance_11928,8,Unknown
instance_11931,13,Unknown
instance_11932,1,Training
instance_11936,3,Inference
instance_11937,9,Unknown
instance_11938,8,Unknown
instance_11940,1,Training
instance_11944,37,Unknown
instance_11945,3,Inference
instance_11948,18,Unknown
instance_11949,7,Unknown
instance_11951,0,Preprocessing
instance_11955,17,Unknown
instance_11956,3,Inference
instance_11957,36,Unknown
instance_11958,3,Inference
instance_11959,0,Preprocessing
instance_11960,13,Unknown
instance_11961,13,Unknown
instance_11962,13,Unknown
instance_11964,17,Unknown
instance_11965,1,Training
instance_11966,1,Training
