instance_sn,cluster,workload_type
instance_7587,1,Training
instance_7588,1,Training
instance_7589,8,Unknown
instance_7590,7,Unknown
instance_7591,4,Deployment
instance_7592,3,Inference
instance_7593,8,Unknown
instance_7594,8,Unknown
instance_7595,8,Unknown
instance_7596,0,Preprocessing
instance_7597,-1,Noise
instance_7598,18,Unknown
instance_7599,0,Preprocessing
instance_7600,2,Tuning
instance_7604,11,Unknown
instance_7605,1,Training
instance_7606,18,Unknown
instance_7607,9,Unknown
instance_7608,3,Inference
instance_7609,7,Unknown
instance_7610,7,Unknown
instance_7611,8,Unknown
instance_7613,18,Unknown
instance_7614,7,Unknown
instance_7615,7,Unknown
instance_7616,7,Unknown
instance_7617,7,Unknown
instance_7618,7,Unknown
instance_7619,18,Unknown
instance_7620,6,Unknown
instance_7621,6,Unknown
instance_7624,1,Training
instance_7625,4,Deployment
instance_7626,8,Unknown
instance_7627,8,Unknown
instance_7628,8,Unknown
instance_7629,8,Unknown
instance_7630,6,Unknown
instance_7631,8,Unknown
instance_7632,7,Unknown
instance_7633,19,Unknown
instance_7635,9,Unknown
instance_7637,10,Unknown
instance_7638,10,Unknown
instance_7639,15,Unknown
instance_7641,8,Unknown
instance_7642,-1,Noise
instance_7643,4,Deployment
instance_7644,7,Unknown
instance_7645,8,Unknown
instance_7646,6,Unknown
instance_7647,9,Unknown
instance_7648,12,Unknown
instance_7650,5,Unknown
instance_7652,9,Unknown
instance_7653,7,Unknown
instance_7654,8,Unknown
instance_7656,4,Deployment
instance_7658,4,Deployment
instance_7659,8,Unknown
instance_7660,15,Unknown
instance_7661,8,Unknown
instance_7662,20,Unknown
instance_7663,8,Unknown
instance_7664,1,Training
instance_7665,8,Unknown
instance_7666,8,Unknown
instance_7667,8,Unknown
instance_7668,8,Unknown
instance_7669,8,Unknown
instance_7670,8,Unknown
instance_7671,6,Unknown
instance_7672,9,Unknown
instance_7673,9,Unknown
instance_7674,8,Unknown
instance_7675,8,Unknown
instance_7676,8,Unknown
instance_7677,2,Tuning
instance_7678,15,Unknown
instance_7679,6,Unknown
instance_7680,6,Unknown
instance_7681,8,Unknown
instance_7682,0,Preprocessing
instance_7683,14,Unknown
instance_7684,4,Deployment
instance_7685,0,Preprocessing
instance_7686,-1,Noise
instance_7687,0,Preprocessing
instance_7688,6,Unknown
instance_7689,6,Unknown
instance_7690,6,Unknown
instance_7691,8,Unknown
instance_7692,9,Unknown
instance_7693,5,Unknown
instance_7694,5,Unknown
instance_7695,9,Unknown
instance_7696,5,Unknown
instance_7697,1,Training
instance_7698,1,Training
instance_7699,0,Preprocessing
instance_7700,0,Preprocessing
instance_7701,8,Unknown
instance_7702,3,Inference
instance_7703,0,Preprocessing
instance_7704,0,Preprocessing
instance_7706,8,Unknown
instance_7707,9,Unknown
instance_7708,1,Training
instance_7709,8,Unknown
instance_7710,5,Unknown
instance_7711,8,Unknown
instance_7712,8,Unknown
instance_7713,8,Unknown
instance_7714,1,Training
instance_7715,1,Training
instance_7716,10,Unknown
instance_7717,-1,Noise
instance_7718,6,Unknown
instance_7719,6,Unknown
instance_7720,5,Unknown
instance_7721,9,Unknown
instance_7722,5,Unknown
instance_7723,9,Unknown
instance_7724,0,Preprocessing
instance_7725,5,Unknown
instance_7726,9,Unknown
instance_7727,1,Training
instance_7728,5,Unknown
instance_7729,5,Unknown
instance_7730,0,Preprocessing
instance_7731,-1,Noise
instance_7733,11,Unknown
instance_7734,-1,Noise
instance_7735,8,Unknown
instance_7736,18,Unknown
instance_7737,1,Training
instance_7738,1,Training
instance_7739,0,Preprocessing
instance_7740,0,Preprocessing
instance_7741,5,Unknown
instance_7743,1,Training
instance_7745,8,Unknown
